CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/26/2019,7:00,BRONX,10455,40.817722,-73.904274,"(40.817722, -73.904274)",,,801       EAST 156 STREET               ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4121068,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/03/2019,9:00,QUEENS,11385,40.713062,-73.90891,"(40.713062, -73.90891)",METROPOLITAN AVENUE             ,ANDREWS AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,,,,,4124713,Carry All,,,,
05/03/2019,16:33,BROOKLYN,11223,40.598312,-73.96119,"(40.598312, -73.96119)",CONEY ISLAND AVENUE             ,AVENUE U,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4125698,Bus,Station Wagon/Sport Utility Vehicle,,,
05/11/2019,15:27,BRONX,10468,40.862732,-73.90333,"(40.862732, -73.90333)",GRAND AVENUE                    ,WEST FORDHAM ROAD,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4130712,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/03/2019,3:30,BRONX,10458,40.853443,-73.88772,"(40.853443, -73.88772)",,,2308      HUGHES AVENUE                 ,0,0,0,0,0,0,0,0,Other Vehicular,,,,,4125759,Station Wagon/Sport Utility Vehicle,,,,
04/20/2019,0:10,QUEENS,11101,40.74754,-73.94124,"(40.74754, -73.94124)",JACKSON AVENUE                  ,43 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4117892,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/15/2019,19:55,,,40.67006,-73.890564,"(40.67006, -73.890564)",MILLER AVENUE                   ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4132857,Sedan,Sedan,,,
04/19/2019,14:11,BRONX,10466,40.895435,-73.85837,"(40.895435, -73.85837)",,,644       EAST 235 STREET               ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4118739,Sedan,,,,
04/22/2019,18:00,,,40.75199,-73.931274,"(40.75199, -73.931274)",NORTHERN BOULEVARD              ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4119850,Sedan,Sedan,,,
05/02/2019,19:20,BROOKLYN,11206,40.70104,-73.954704,"(40.70104, -73.954704)",,,233       LEE AVENUE                    ,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4124553,Sedan,Station Wagon/Sport Utility Vehicle,,,
04/23/2019,20:30,QUEENS,11385,40.700615,-73.89673,"(40.700615, -73.89673)",MYRTLE AVENUE                   ,SUMMERFIELD AVENUE,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,4119766,Sedan,Station Wagon/Sport Utility Vehicle,,,
05/06/2019,16:12,MANHATTAN,10001,40.753525,-73.994545,"(40.753525, -73.994545)",,,357       WEST 35 STREET                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4126756,Sedan,Sedan,,,
04/22/2019,19:42,,,40.642204,-73.991936,"(40.642204, -73.991936)",,,FORT HAMILTON PARKWAY                   ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4120060,AMBUL,Sedan,,,
04/22/2019,8:13,QUEENS,11419,40.69407,-73.82802,"(40.69407, -73.82802)",LEFFERTS BOULEVARD              ,ATLANTIC AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4119245,Sedan,Pick-up Truck,,,
